"DATA_Y","CITY","COUNTY","variable","non_missing_n","mean","median","sd","min","max"
2002,"桃園縣","中壢市","N_INDI_UNDER6",0,,,,,
2002,"桃園縣","八德市","N_FAMILY",52,4.80769230769231,5,1.53442154315447,1,7
2002,"桃園縣","八德市","N_INDI",52,4.57692307692308,5,1.48649019236793,1,7
2002,"桃園縣","八德市","N_INDI_16_54",0,,,,,
2002,"桃園縣","八德市","N_INDI_55PLUS",0,,,,,
2002,"桃園縣","八德市","N_INDI_55_64",0,,,,,
2002,"桃園縣","八德市","N_INDI_65PLUS",0,,,,,
2002,"桃園縣","八德市","N_INDI_7_15",0,,,,,
2002,"桃園縣","八德市","N_INDI_UNDER6",0,,,,,
2002,"桃園縣","大園鄉","N_FAMILY",53,5.07547169811321,5,1.37069685538995,2,8
2002,"桃園縣","大園鄉","N_INDI",53,4.88679245283019,5,1.46314173768549,1,8
2002,"桃園縣","大園鄉","N_INDI_16_54",0,,,,,
2002,"桃園縣","大園鄉","N_INDI_55PLUS",0,,,,,
2002,"桃園縣","大園鄉","N_INDI_55_64",0,,,,,
2002,"桃園縣","大園鄉","N_INDI_65PLUS",0,,,,,
2002,"桃園縣","大園鄉","N_INDI_7_15",0,,,,,
2002,"桃園縣","大園鄉","N_INDI_UNDER6",0,,,,,
2002,"桃園縣","大溪鎮","N_FAMILY",57,4.71929824561404,5,1.80034109828539,1,10
2002,"桃園縣","大溪鎮","N_INDI",57,4.49122807017544,4,1.76395261332473,1,10
2002,"桃園縣","大溪鎮","N_INDI_16_54",0,,,,,
2002,"桃園縣","大溪鎮","N_INDI_55PLUS",0,,,,,
2002,"桃園縣","大溪鎮","N_INDI_55_64",0,,,,,
2002,"桃園縣","大溪鎮","N_INDI_65PLUS",0,,,,,
2002,"桃園縣","大溪鎮","N_INDI_7_15",0,,,,,
2002,"桃園縣","大溪鎮","N_INDI_UNDER6",0,,,,,
2002,"桃園縣","平鎮市","N_FAMILY",52,4.38461538461539,5,1.8802778909538,1,8
2002,"桃園縣","平鎮市","N_INDI",52,4.05769230769231,5,1.98438474228912,0,8
2002,"桃園縣","平鎮市","N_INDI_16_54",0,,,,,
2002,"桃園縣","平鎮市","N_INDI_55PLUS",0,,,,,
