variable,91_1,91_2,95,99,103,106,110,years_present,count
d4,N,N,N,N,N,N,Y,110,1
d4_1_1,N,N,N,N,N,N,Y,110,1
d4_1o,N,N,N,N,N,N,Y,110,1
d4_2,N,N,N,N,N,N,Y,110,1
d4_2o,N,N,N,N,N,N,Y,110,1
d4_3,N,N,N,N,N,N,Y,110,1
d4_3o,N,N,N,N,N,N,Y,110,1
d4o,N,N,N,N,N,N,Y,110,1
date,N,N,N,Y,N,N,N,99,1
e1,N,N,N,N,N,N,Y,110,1
e1o,N,N,N,N,N,N,Y,110,1
e2,N,N,N,N,N,N,Y,110,1
e2o,N,N,N,N,N,N,Y,110,1
e3,N,N,N,N,N,N,Y,110,1
e3o,N,N,N,N,N,N,Y,110,1
f2_1_3,N,N,N,Y,N,N,N,99,1
f2_1_4,N,N,N,Y,N,N,N,99,1
f2_1_5,N,N,N,Y,N,N,N,99,1
f3_1r,N,N,N,Y,N,N,N,99,1
g2_1,N,N,N,N,N,N,Y,110,1
g2o,N,N,N,N,Y,N,N,103,1
g3_1,N,N,N,Y,N,N,N,99,1
g3_2,N,N,N,Y,N,N,N,99,1
g3_3,N,N,N,Y,N,N,N,99,1
g3_4,N,N,N,Y,N,N,N,99,1
g3_5,N,N,N,Y,N,N,N,99,1
g3o,N,N,N,N,N,N,Y,110,1
g4_1,N,N,N,Y,N,N,N,99,1
g4_2,N,N,N,Y,N,N,N,99,1
g4o,N,N,N,N,N,N,Y,110,1
g5_1,N,N,N,Y,N,N,N,99,1
g5_2,N,N,N,Y,N,N,N,99,1
g6_1o,N,N,N,N,Y,N,N,103,1
g6_2,N,N,N,N,Y,N,N,103,1
g6_2o,N,N,N,N,Y,N,N,103,1
g6_n,N,N,N,N,N,Y,N,106,1
g1o,N,N,N,N,Y,N,N,103,1
g1_1,N,N,N,N,N,N,Y,110,1
g11,N,N,N,N,N,N,Y,110,1
f4_2_3,N,N,N,Y,N,N,N,99,1
f3_5,N,N,N,N,N,N,Y,110,1
f3_6,N,N,N,N,N,N,Y,110,1
f4,N,N,N,Y,N,N,N,99,1
f4_1r,N,N,N,Y,N,N,N,99,1
f4_2,N,N,N,N,N,Y,N,106,1
f4_2_1,N,N,N,Y,N,N,N,99,1
f4_2_2,N,N,N,Y,N,N,N,99,1
f4_2_4,N,N,N,Y,N,N,N,99,1
g10,N,N,N,N,N,N,Y,110,1
f4_2_5,N,N,N,Y,N,N,N,99,1
f4_2_6,N,N,N,Y,N,N,N,99,1
f4_2_7,N,N,N,Y,N,N,N,99,1
f4_3,N,N,N,N,N,Y,N,106,1
f4_4,N,N,N,N,N,Y,N,106,1
f4o,N,N,N,N,N,Y,N,106,1
farm,N,N,Y,N,N,N,N,95,1
d3_1,N,N,N,N,N,N,Y,110,1
d3,N,N,N,N,N,N,Y,110,1
d2_3,N,N,N,N,N,N,Y,110,1
c51,N,N,Y,N,N,N,N,95,1
b3,N,N,N,N,N,N,Y,110,1
b4,N,N,N,N,N,N,Y,110,1
b5r,N,N,N,N,N,N,Y,110,1
b6,N,N,N,N,N,N,Y,110,1
b6_1o,N,N,N,N,N,N,Y,110,1
b6_1r,N,N,N,N,N,N,Y,110,1
b6o,N,N,N,N,N,N,Y,110,1
b7,N,N,N,N,N,N,Y,110,1
b7_1,N,N,N,N,N,N,Y,110,1
b7_2,N,N,N,N,N,N,Y,110,1
