sample_definition,Survey Year,County,Sample N
full_sample,2017,新城鄉,61
full_sample,2017,新屋區,41
full_sample,2017,新店區,57
full_sample,2017,新莊區,45
full_sample,2017,春日鄉,46
full_sample,2017,暖暖區,21
full_sample,2017,東區,132
full_sample,2017,東河鄉,25
full_sample,2017,松山區,25
full_sample,2017,板橋區,54
full_sample,2017,枋寮鄉,9
full_sample,2017,桃園區,59
full_sample,2017,桃源區,28
full_sample,2017,梓官區,23
full_sample,2017,楊梅區,19
full_sample,2017,樹林區,55
full_sample,2017,橋頭區,1
full_sample,2017,民雄鄉,7
full_sample,2017,永和區,20
full_sample,2017,永康區,51
full_sample,2017,汐止區,54
full_sample,2017,池上鄉,22
full_sample,2017,泰安鄉,39
full_sample,2017,泰武鄉,31
full_sample,2017,海端鄉,22
full_sample,2017,清水區,23
full_sample,2017,湖口鄉,27
full_sample,2017,滿州鄉,22
full_sample,2017,潭子區,11
full_sample,2017,潮州鎮,49
full_sample,2017,烏來區,20
full_sample,2017,烏日區,14
full_sample,2017,牡丹鄉,32
full_sample,2017,獅子鄉,24
full_sample,2017,獅潭鄉,2
full_sample,2017,玉里鎮,63
full_sample,2017,瑞穗鄉,73
full_sample,2017,瑞芳區,23
full_sample,2017,瑪家鄉,52
full_sample,2017,礁溪鄉,1
full_sample,2017,秀林鄉,100
full_sample,2017,竹北市,6
full_sample,2017,竹東鎮,47
full_sample,2017,綠島鄉,2
full_sample,2017,羅東鎮,9
full_sample,2017,臺東市,197
full_sample,2017,花蓮市,124
full_sample,2017,苓雅區,10
full_sample,2017,苗栗市,28
full_sample,2017,茂林區,13
full_sample,2017,草屯鎮,17
full_sample,2017,萬巒鄉,6
full_sample,2017,萬榮鄉,50
full_sample,2017,萬華區,2
full_sample,2017,蘆洲區,34
full_sample,2017,蘆竹區,42
full_sample,2017,蘇澳鎮,4
full_sample,2017,蘭嶼鄉,31
full_sample,2017,西屯區,18
full_sample,2017,觀音區,56
full_sample,2017,豐原區,19
full_sample,2017,豐濱鄉,22
full_sample,2017,達仁鄉,40
full_sample,2017,那瑪夏區,17
full_sample,2017,金峰鄉,28
full_sample,2017,長治鄉,24
full_sample,2017,長濱鄉,56
full_sample,2017,關山鎮,22
full_sample,2017,關西鎮,5
full_sample,2017,阿里山鄉,27
full_sample,2017,霧臺鄉,5
full_sample,2017,頭份鎮,33
full_sample,2017,馬公市,36
full_sample,2017,魚池鄉,6
full_sample,2017,鳥松區,8
full_sample,2017,鳳山區,65
full_sample,2017,鳳林鎮,22
full_sample,2017,鹿野鄉,25
full_sample,2017,鼓山區,17
full_sample,2017,龍潭區,61
full_sample,2017,龜山區,46
full_sample,2021,中部地區,760
full_sample,2021,北部地區,2012
full_sample,2021,南部地區,1098
full_sample,2021,東部及離島地區,1539
indigenous_analysis_sample,2002,三地門,181
indigenous_analysis_sample,2002,三峽鎮,52
indigenous_analysis_sample,2002,三民鄉,67
indigenous_analysis_sample,2002,三重市,52
indigenous_analysis_sample,2002,中和市,55
indigenous_analysis_sample,2002,中壢市,55
indigenous_analysis_sample,2002,五峰鄉,138
indigenous_analysis_sample,2002,五結冬山鄉,53
indigenous_analysis_sample,2002,五股鄉,50
indigenous_analysis_sample,2002,仁愛鄉,337
indigenous_analysis_sample,2002,來義鄉,190
indigenous_analysis_sample,2002,信義鄉,231
indigenous_analysis_sample,2002,光復鄉,213
indigenous_analysis_sample,2002,內埔鄉,52
indigenous_analysis_sample,2002,八德市,52
indigenous_analysis_sample,2002,八里鄉三芝鄉,52
indigenous_analysis_sample,2002,六龜鄉美濃鎮,57
indigenous_analysis_sample,2002,北區,46
indigenous_analysis_sample,2002,北屯區,46
indigenous_analysis_sample,2002,卑南鄉,185
indigenous_analysis_sample,2002,卓溪鄉,140
indigenous_analysis_sample,2002,南區東區,53
indigenous_analysis_sample,2002,南屯區,55
indigenous_analysis_sample,2002,南庄鄉,63
indigenous_analysis_sample,2002,南投市,52
indigenous_analysis_sample,2002,南澳鄉,138
indigenous_analysis_sample,2002,吉安鄉,380
indigenous_analysis_sample,2002,后里鄉外埔鄉,52
indigenous_analysis_sample,2002,和平鄉,146
indigenous_analysis_sample,2002,土城市,53
indigenous_analysis_sample,2002,埔里鎮,55
indigenous_analysis_sample,2002,壽豐鄉,179
indigenous_analysis_sample,2002,大同鄉,126
indigenous_analysis_sample,2002,大園鄉,53
indigenous_analysis_sample,2002,大寮鄉,56
indigenous_analysis_sample,2002,大樹鄉仁武鄉,53
indigenous_analysis_sample,2002,大武鄉,115
indigenous_analysis_sample,2002,大溪鎮,57
indigenous_analysis_sample,2002,大肚鄉,62
indigenous_analysis_sample,2002,大里市,67
indigenous_analysis_sample,2002,大雅鄉,59
indigenous_analysis_sample,2002,太平市,52
indigenous_analysis_sample,2002,太麻里,174
indigenous_analysis_sample,2002,宜蘭市,53
indigenous_analysis_sample,2002,富里鄉,54
indigenous_analysis_sample,2002,尖石鄉,194
indigenous_analysis_sample,2002,屏東市,65
indigenous_analysis_sample,2002,岡山鎮,54
indigenous_analysis_sample,2002,平鎮市,52
indigenous_analysis_sample,2002,延平鄉,84
indigenous_analysis_sample,2002,彰化市,52
indigenous_analysis_sample,2002,復興鄉,265
indigenous_analysis_sample,2002,恆春鎮,59
indigenous_analysis_sample,2002,成功鎮,272
indigenous_analysis_sample,2002,新城鄉,149
indigenous_analysis_sample,2002,新埔鎮芎林鄉橫山鄉,52
indigenous_analysis_sample,2002,新店市,52
indigenous_analysis_sample,2002,新莊市,54
indigenous_analysis_sample,2002,春日鄉,113
indigenous_analysis_sample,2002,未知地區,967
indigenous_analysis_sample,2002,東勢鎮,54
indigenous_analysis_sample,2002,東河鄉,162
indigenous_analysis_sample,2002,板橋市,52
indigenous_analysis_sample,2002,枋寮鄉,54
indigenous_analysis_sample,2002,林口鄉,52
indigenous_analysis_sample,2002,林園鄉鳥松鄉,47
indigenous_analysis_sample,2002,桃園市,53
indigenous_analysis_sample,2002,桃源鄉,101
indigenous_analysis_sample,2002,梧棲鎮,63
indigenous_analysis_sample,2002,楊梅鎮,53
indigenous_analysis_sample,2002,樹林市,52
indigenous_analysis_sample,2002,水里鄉草屯鎮,52
indigenous_analysis_sample,2002,永和市,43
indigenous_analysis_sample,2002,永康市,59
indigenous_analysis_sample,2002,汐止市,52
indigenous_analysis_sample,2002,池上鄉,67
indigenous_analysis_sample,2002,泰安鄉,112
indigenous_analysis_sample,2002,泰山鄉,52
