ID,SOURCE_ID,SURVEY_TAG,DATA_Y
110::8287960,8287960,110,2021
110::8288253,8288253,110,2021
110::8288327,8288327,110,2021
110::8288352,8288352,110,2021
110::8288504,8288504,110,2021
110::8291989,8291989,110,2021
110::8292126,8292126,110,2021
110::8292272,8292272,110,2021
110::8296565,8296565,110,2021
110::8296918,8296918,110,2021
110::8296967,8296967,110,2021
110::8297427,8297427,110,2021
110::8297812,8297812,110,2021
110::8298060,8298060,110,2021
110::8298162,8298162,110,2021
110::8298349,8298349,110,2021
110::8298383,8298383,110,2021
110::8298414,8298414,110,2021
110::8298592,8298592,110,2021
110::8298844,8298844,110,2021
110::9287690,9287690,110,2021
110::9287725,9287725,110,2021
110::9287814,9287814,110,2021
110::9287916,9287916,110,2021
110::9288054,9288054,110,2021
110::9288478,9288478,110,2021
110::9288550,9288550,110,2021
110::9292266,9292266,110,2021
110::9292691,9292691,110,2021
110::9295816,9295816,110,2021
110::9295956,9295956,110,2021
110::9296205,9296205,110,2021
110::9296621,9296621,110,2021
110::9296633,9296633,110,2021
110::9296988,9296988,110,2021
110::9297428,9297428,110,2021
110::9297821,9297821,110,2021
110::9298316,9298316,110,2021
110::9298442,9298442,110,2021
110::9298480,9298480,110,2021
110::9298567,9298567,110,2021
110::9298593,9298593,110,2021
110::9298661,9298661,110,2021
110::9298712,9298712,110,2021
110::9298992,9298992,110,2021
110::1410194,1410194,110,2021
110::1410404,1410404,110,2021
110::1410971,1410971,110,2021
110::1411017,1411017,110,2021
110::1411421,1411421,110,2021
110::1411571,1411571,110,2021
110::1411633,1411633,110,2021
110::1411644,1411644,110,2021
110::1411991,1411991,110,2021
110::1412003,1412003,110,2021
110::1412165,1412165,110,2021
110::1412387,1412387,110,2021
110::1412475,1412475,110,2021
110::1412587,1412587,110,2021
110::1412860,1412860,110,2021
110::1412879,1412879,110,2021
110::1413554,1413554,110,2021
110::1413650,1413650,110,2021
110::1414123,1414123,110,2021
110::1414223,1414223,110,2021
110::1416261,1416261,110,2021
110::1416755,1416755,110,2021
110::1416859,1416859,110,2021
110::1417200,1417200,110,2021
110::1417449,1417449,110,2021
110::1417715,1417715,110,2021
110::1418816,1418816,110,2021
110::1420775,1420775,110,2021
110::1421205,1421205,110,2021
110::1421359,1421359,110,2021
110::1422340,1422340,110,2021
110::1422532,1422532,110,2021
110::1422889,1422889,110,2021
110::1423006,1423006,110,2021
110::1423722,1423722,110,2021
110::1423833,1423833,110,2021
110::1423970,1423970,110,2021
110::1424228,1424228,110,2021
110::1424557,1424557,110,2021
110::1424925,1424925,110,2021
110::1425251,1425251,110,2021
110::1425725,1425725,110,2021
110::1426839,1426839,110,2021
110::1427276,1427276,110,2021
110::1427812,1427812,110,2021
110::1428223,1428223,110,2021
110::1428605,1428605,110,2021
110::1428785,1428785,110,2021
110::1430567,1430567,110,2021
110::1433001,1433001,110,2021
110::1440417,1440417,110,2021
110::1446229,1446229,110,2021
110::1447080,1447080,110,2021
110::1447445,1447445,110,2021
