sample_definition,Survey Year,City,County,Sample N
full_sample,2006,臺東縣,太麻里,108
full_sample,2006,臺東縣,延平鄉,111
full_sample,2006,臺東縣,成功鎮,176
full_sample,2006,臺東縣,未知地區,1
full_sample,2006,臺東縣,東河鄉,38
full_sample,2006,臺東縣,池上鄉,56
full_sample,2006,臺東縣,海端鄉,63
full_sample,2006,臺東縣,綠島鄉,2
full_sample,2006,臺東縣,臺東市,251
full_sample,2006,臺東縣,蘭嶼鄉,49
full_sample,2006,臺東縣,達仁鄉,92
full_sample,2006,臺東縣,金峰鄉,113
full_sample,2006,臺東縣,長濱鄉,112
full_sample,2006,臺東縣,關山鎮,55
full_sample,2006,臺東縣,鹿野鄉,52
full_sample,2006,花蓮縣,光復鄉,76
full_sample,2006,花蓮縣,卓溪鄉,191
full_sample,2006,花蓮縣,吉安鄉,192
full_sample,2006,花蓮縣,壽豐鄉,75
full_sample,2006,花蓮縣,富里鄉,39
full_sample,2006,花蓮縣,新城鄉,42
full_sample,2006,花蓮縣,玉里鎮,152
full_sample,2006,花蓮縣,瑞穗鄉,94
full_sample,2006,花蓮縣,秀林鄉,140
full_sample,2006,花蓮縣,花蓮市,63
full_sample,2006,花蓮縣,萬榮鄉,66
full_sample,2006,花蓮縣,豐濱鄉,67
full_sample,2006,花蓮縣,鳳林鎮,31
full_sample,2006,苗栗縣,三義鄉,2
full_sample,2006,苗栗縣,公館鄉,1
full_sample,2006,苗栗縣,南庄鄉,50
full_sample,2006,苗栗縣,大湖鄉,4
full_sample,2006,苗栗縣,後龍鎮,1
full_sample,2006,苗栗縣,泰安鄉,92
full_sample,2006,苗栗縣,獅潭鄉,3
full_sample,2006,苗栗縣,竹南鎮,2
full_sample,2006,苗栗縣,苑裡鎮,3
full_sample,2006,苗栗縣,苗栗市,6
full_sample,2006,苗栗縣,通霄鎮,2
full_sample,2006,苗栗縣,造橋鄉,1
full_sample,2006,苗栗縣,銅鑼鄉,1
full_sample,2006,苗栗縣,頭份鎮,7
full_sample,2006,連江縣,南竿鄉,1
full_sample,2006,連江縣,莒光鄉,1
full_sample,2006,金門縣,金寧鎮,1
full_sample,2006,金門縣,金沙鎮,1
full_sample,2006,金門縣,金湖鎮,1
full_sample,2006,雲林縣,斗六市,1
full_sample,2006,雲林縣,斗南鎮,1
full_sample,2006,雲林縣,虎尾鎮,1
full_sample,2006,雲林縣,褒忠鄉,1
full_sample,2006,雲林縣,麥寮鄉,16
full_sample,2006,高雄市,三民區,7
full_sample,2006,高雄市,前鎮區,26
full_sample,2006,高雄市,小港區,23
full_sample,2006,高雄市,左營區,38
full_sample,2006,高雄市,新興區,3
full_sample,2006,高雄市,楠梓區,18
full_sample,2006,高雄市,苓雅區,9
full_sample,2006,高雄市,鹽埕區,4
full_sample,2006,高雄市,鼓山區,3
full_sample,2006,高雄縣,三民鄉,69
full_sample,2006,高雄縣,六龜鄉,2
full_sample,2006,高雄縣,大寮鄉,3
full_sample,2006,高雄縣,大樹鄉,4
full_sample,2006,高雄縣,岡山鎮,11
full_sample,2006,高雄縣,未知地區,1
full_sample,2006,高雄縣,杉林鄉,3
