ID,DATA_Y
1459281,2021
1459595,2021
1461108,2021
1461625,2021
1461638,2021
1462230,2021
1462231,2021
1462239,2021
1462551,2021
1462586,2021
1462680,2021
1462872,2021
1462905,2021
1462948,2021
1463092,2021
1463109,2021
1463220,2021
1463228,2021
1463344,2021
1463370,2021
1463375,2021
1463404,2021
1463484,2021
1463505,2021
1463535,2021
1463664,2021
1463667,2021
1464025,2021
1464577,2021
1464890,2021
1464916,2021
1464941,2021
1464980,2021
1465521,2021
1465526,2021
1467075,2021
1467604,2021
1467742,2021
1467794,2021
1468557,2021
2409545,2021
2409969,2021
2410147,2021
2410163,2021
2410218,2021
2411102,2021
2411613,2021
2413192,2021
2413219,2021
2413924,2021
2414131,2021
2414319,2021
2414619,2021
2414862,2021
2416035,2021
2416247,2021
2416471,2021
2416792,2021
2417003,2021
2417790,2021
2417974,2021
2418404,2021
2420273,2021
2420374,2021
2420485,2021
2420561,2021
2421603,2021
2421975,2021
2422177,2021
2422301,2021
2422906,2021
2422936,2021
2422984,2021
2423318,2021
2424435,2021
2424889,2021
2425953,2021
2426692,2021
2426896,2021
2426915,2021
2427427,2021
2429496,2021
2446022,2021
2446047,2021
2447849,2021
2447872,2021
2448411,2021
2448706,2021
2448872,2021
2448905,2021
2448962,2021
2449378,2021
2449458,2021
2450387,2021
2450718,2021
2450783,2021
2450847,2021
2450880,2021
2450983,2021
2451249,2021
2451305,2021
2451306,2021
2451526,2021
2451529,2021
2451801,2021
2456847,2021
2456893,2021
2457104,2021
2457685,2021
2457920,2021
2458161,2021
2458240,2021
2460684,2021
2461218,2021
2461427,2021
2461578,2021
2461722,2021
2461886,2021
2462077,2021
2462247,2021
2462251,2021
2462379,2021
2462422,2021
2462583,2021
2462606,2021
2462615,2021
2462951,2021
2463032,2021
2463204,2021
2463437,2021
2463499,2021
2463541,2021
2463542,2021
2463550,2021
2463601,2021
2463676,2021
2463677,2021
2463711,2021
2463754,2021
2463857,2021
2463999,2021
2464072,2021
2464157,2021
2464920,2021
2465885,2021
2467880,2021
2469364,2021
3412383,2021
3413942,2021
3414216,2021
3416119,2021
3416827,2021
3416910,2021
3417005,2021
3418129,2021
3420342,2021
3420380,2021
3421377,2021
3421906,2021
3421980,2021
3423484,2021
3423902,2021
3425174,2021
3426737,2021
3427404,2021
3428136,2021
3428147,2021
3428998,2021
3430980,2021
3431093,2021
3431133,2021
3445877,2021
3448466,2021
3448758,2021
3450041,2021
3450357,2021
3450820,2021
3450859,2021
3451056,2021
3451297,2021
3451519,2021
3451910,2021
3456042,2021
3456479,2021
3456953,2021
3457919,2021
3458113,2021
3458171,2021
3458379,2021
3459594,2021
3460040,2021
3460085,2021
3460105,2021
3460176,2021
3460216,2021
3460542,2021
3460954,2021
3461375,2021
3461517,2021
3461588,2021
3461715,2021
3461746,2021
3461848,2021
3461897,2021
3462096,2021
3462272,2021
3462517,2021
3462654,2021
3462672,2021
3463206,2021
3463217,2021
3463403,2021
3464504,2021
3465048,2021
3465408,2021
3467000,2021
3467938,2021
3468397,2021
3468771,2021
3469788,2021
3470933,2021
3471138,2021
4415796,2021
4417011,2021
4418011,2021
4419143,2021
4419421,2021
4419426,2021
4419607,2021
4420828,2021
4420975,2021
4421074,2021
4421297,2021
4421520,2021
4421955,2021
4422076,2021
4422107,2021
